Time,Total Motor Energy
0.000,
0.048,0.000
0.072,0.559
0.096,1.371
0.120,3.854
0.144,11.963
0.168,29.325
0.192,48.984
0.216,64.422
0.240,76.624
0.264,87.894
0.288,99.069
0.312,110.107
0.336,121.041
0.360,131.882
0.384,142.623
0.408,153.265
0.432,163.818
0.456,174.282
0.480,184.654
0.504,194.942
0.528,205.140
0.552,215.247
0.576,225.274
0.600,235.214
0.624,245.068
0.648,254.844
0.672,264.538
0.696,274.150
0.720,283.687
0.744,293.146
0.768,302.525
0.792,311.835
0.816,321.070
0.840,330.230
0.864,339.321
0.888,348.339
0.912,357.285
0.936,366.165
0.960,374.975
0.984,383.715
1.008,392.393
1.032,401.003
1.056,409.546
1.080,418.028
1.104,426.446
1.128,434.799
1.152,443.094
1.176,451.326
1.200,459.496
1.224,467.611
1.248,475.665
1.272,483.659
1.296,491.599
1.320,499.481
1.344,507.305
1.368,515.077
1.392,522.792
1.416,530.452
1.440,538.061
1.464,545.616
1.488,553.118
1.512,560.570
1.536,567.968
1.560,575.314
1.584,582.613
1.608,589.862
1.632,597.060
1.656,604.212
1.680,611.316
1.704,618.370
1.728,625.380
1.752,632.343
1.776,639.259
1.800,646.132
1.824,652.958
1.848,659.739
1.872,666.479
1.896,673.174
1.920,679.824
1.944,686.430
1.968,692.994
1.992,699.514
2.016,705.996
2.040,712.435
2.064,718.833
2.088,725.193
2.112,731.512
2.136,737.790
2.160,744.032
2.184,750.234
2.208,756.397
2.232,762.524
2.256,768.613
2.280,774.663
2.304,780.679
2.328,786.657
2.352,792.597
2.376,798.505
2.400,804.384
2.424,810.227
2.448,816.037
2.472,821.812
2.496,827.551
2.520,833.259
2.544,838.932
2.568,844.570
2.592,850.178
2.616,855.742
2.640,861.274
2.664,866.775
2.688,872.243
2.712,877.679
2.736,883.086
2.760,888.460
2.784,893.803
2.808,899.117
2.832,904.400
2.856,909.649
2.880,914.851
2.904,919.997
2.928,925.085
2.952,930.127
2.976,935.118
3.000,940.103
3.024,945.132
3.048,950.232
3.072,955.357
3.096,960.526
3.120,965.724
3.144,970.964
3.168,976.307
3.192,981.639
3.216,986.817
3.240,991.889
3.264,996.695
3.288,1001.043
3.312,1004.861
3.336,1008.035
3.360,1010.708
3.384,1013.040
3.408,1015.210
3.432,1017.290
3.456,1019.368
3.480,1021.478
3.504,1023.638
3.528,1025.814
3.552,1027.957
3.576,1030.051
3.600,1032.110
3.624,1034.120
3.648,1036.075
3.672,1037.973
3.696,1039.811
3.720,1041.589
3.744,1043.309
3.768,1044.969
3.792,1046.568
3.816,1048.107
3.840,1049.586
3.864,1051.003
3.888,1052.361
3.912,1053.656
3.936,1054.889
3.960,1056.061
3.984,1057.171
4.008,1058.222
4.032,1059.216
4.056,1060.150
4.080,1061.025
4.104,1061.841
4.128,1062.596
4.152,1063.291
4.176,1063.926
4.200,1064.499
4.224,1065.011
4.248,1065.462
4.272,1065.862
4.296,1066.202
4.320,1066.202
4.344,1066.202
4.368,1066.202
4.392,1066.202
4.416,1066.202
4.440,1066.202
4.464,1066.508
4.488,1066.871
4.512,1067.215
4.536,1067.561
4.560,1067.885
4.584,1068.207
5.952,1068.207
5.976,1087.072
6.000,1087.905
6.024,1092.613
6.048,1102.913
6.072,1115.744
6.096,1125.644
6.120,1134.499
6.144,1142.515
6.168,1150.391
6.192,1158.188
6.216,1165.904
6.240,1173.540
6.264,1181.098
6.288,1188.577
6.312,1195.977
6.336,1203.301
6.360,1210.547
6.384,1217.716
6.408,1224.810
6.432,1231.828
6.456,1238.775
6.480,1245.644
6.504,1252.435
6.528,1259.146
6.552,1265.781
6.576,1272.336
6.600,1278.815
6.624,1285.218
6.648,1291.544
6.672,1297.792
6.696,1303.968
6.720,1310.067
6.744,1316.091
6.768,1322.042
6.792,1327.919
6.816,1333.733
6.840,1339.475
6.864,1345.129
6.888,1350.691
6.912,1356.165
6.936,1361.534
6.960,1366.776
6.984,1371.857
7.008,1376.774
7.032,1381.522
7.056,1386.166
7.080,1390.800
7.104,1395.532
7.128,1400.220
7.152,1404.975
7.176,1409.806
7.200,1414.856
7.224,1420.161
7.248,1425.588
7.272,1431.022
7.296,1436.324
7.320,1441.579
7.344,1446.811
7.368,1452.012
7.392,1457.172
7.416,1462.331
7.440,1467.493
7.464,1472.667
7.488,1477.837
7.512,1482.999
7.536,1488.152
7.560,1493.299
7.584,1498.439
7.608,1503.575
7.632,1508.706
7.656,1513.833
7.680,1518.954
7.704,1524.073
7.728,1529.203
7.752,1534.362
7.776,1539.561
7.800,1544.798
7.824,1550.076
7.848,1555.392
7.872,1560.780
7.896,1566.278
7.920,1571.972
7.944,1578.185
7.968,1585.768
7.992,1595.378
8.016,1606.024
8.040,1611.875
8.064,1613.788
8.088,1613.788
8.112,1614.343
8.136,1615.259
8.160,1616.262
8.184,1617.246
8.208,1618.288
8.232,1619.346
8.256,1620.370
8.280,1621.328
8.304,1622.194
8.328,1623.027
8.352,1623.835
8.376,1624.595
8.400,1625.289
8.424,1625.916
8.448,1626.476
8.472,1626.968
8.496,1627.394
8.520,1627.751
8.544,1628.041
8.568,1628.263
8.592,1628.417
8.616,1628.502
8.640,1628.589
8.664,1628.589
8.688,1628.589
8.712,1628.589
8.736,1628.589
8.760,1628.589
8.784,1628.589
8.808,1628.589
8.832,1628.589
8.856,1628.589
8.880,1628.589
8.904,1628.589
8.928,1628.589
8.952,1628.589
8.976,1628.589
9.000,1628.589
9.024,1628.589
9.048,1628.589
9.072,1628.589
9.096,1628.589
9.120,1628.589
9.144,1628.589
9.168,1628.589
9.192,1628.589
9.216,1628.589
9.240,1628.589
9.264,1628.589
9.288,1628.589
9.312,1628.589
9.336,1628.589
9.360,1628.589
9.384,1628.589
9.408,1628.589
9.432,1628.589
9.456,1628.589
9.480,1628.589
9.504,1628.589
9.528,1628.589
9.552,1628.589
9.576,1628.589
9.600,1628.589
9.624,1628.589
9.648,1628.589
9.672,1628.589
9.696,1628.589
9.720,1628.589
9.744,1628.589
9.768,1628.589
9.792,1628.589
9.816,1628.589
9.840,1628.589
9.864,1628.589
9.888,1628.589
9.912,1628.589
9.936,1628.589
9.960,1628.589
9.984,1628.589
10.008,1628.589
10.032,1628.589
10.056,1628.589
10.080,1628.589
10.104,1628.589
10.128,1628.589
10.152,1628.589
10.176,1628.589
10.200,1628.589
10.224,1628.589
10.248,1628.589
10.272,1628.589
10.296,1628.589
10.320,1628.589
10.344,1628.589
10.368,1628.589
10.392,1628.589
10.416,1628.589
10.440,1628.589
10.464,1628.589
10.488,1628.589
10.512,1628.589
10.536,1628.589
10.560,1628.589
10.584,1628.589
10.608,1628.589
10.632,1628.589
10.656,1628.589
10.680,1628.589
10.704,1628.589
10.728,1628.589
10.752,1628.589
10.776,1628.589
10.800,1628.589
10.824,1628.589
10.848,1628.589
10.872,1628.589
10.896,1628.589
10.920,1628.589
10.944,1628.589
10.968,1628.589
10.992,1628.589
11.016,1628.589
11.040,1628.589
11.064,1628.589
11.088,1628.589
11.112,1628.589
11.136,1628.589
11.160,1628.589
11.184,1628.589
11.208,1628.589
11.232,1628.589
11.256,1628.589
11.280,1628.589
11.304,1628.589
11.328,1628.589
11.352,1628.589
11.376,1628.589
11.400,1628.589
11.424,1628.589
11.448,1628.589
11.472,1628.589
11.496,1628.589
11.520,1628.589
11.544,1628.589
11.568,1628.589
11.592,1628.589
11.616,1628.589
11.640,1628.589
11.664,1628.589
11.688,1628.589
11.712,1628.589
11.736,1628.589
11.760,1628.589
11.784,1628.589
11.808,1628.589
11.832,1628.601
11.856,1632.848
11.880,1641.577
11.904,1659.305
11.928,1685.897
11.952,1723.674
11.976,1775.076
12.000,1839.091
12.024,1905.109
12.048,1944.059
12.072,1963.467
12.096,1984.878
12.120,2008.718
12.144,2035.979
12.168,2065.423
12.192,2094.849
12.216,2123.771
12.240,2152.168
12.264,2180.032
12.288,2207.408
12.312,2234.357
12.336,2260.886
12.360,2286.978
12.384,2312.646
12.408,2337.891
12.432,2362.723
12.456,2387.152
12.480,2411.222
12.504,2434.955
12.528,2458.340
12.552,2481.375
12.576,2504.066
12.600,2526.427
12.624,2548.460
12.648,2570.179
12.672,2591.606
12.696,2612.743
12.720,2633.584
12.744,2654.138
12.768,2674.415
12.792,2694.419
12.816,2714.162
12.840,2733.636
12.864,2752.846
12.888,2771.797
12.912,2790.502
12.936,2808.967
12.960,2827.194
12.984,2845.182
13.008,2862.933
13.032,2880.460
13.056,2897.760
13.080,2914.839
13.104,2931.706
13.128,2948.369
13.152,2963.428
13.176,2971.797
13.200,2974.362
13.224,2976.012
13.248,2978.033
13.272,2980.222
13.296,2982.232
13.320,2984.036
13.344,2985.427
13.368,2986.396
13.392,2987.169
13.416,2987.792
13.440,2988.375
13.464,2988.948
13.488,2989.531
13.512,2990.115
14.904,2990.115
14.928,3023.098
14.952,3023.604
14.976,3025.397
15.000,3031.705
15.024,3045.094
15.048,3062.788
15.072,3076.537
15.096,3081.649
15.120,3085.343
15.144,3088.267
15.168,3091.206
15.192,3094.168
15.216,3097.177
15.240,3100.234
15.264,3103.333
15.288,3106.478
15.312,3109.670
15.336,3112.905
15.360,3116.189
15.384,3119.546
15.408,3122.969
15.432,3126.464
15.456,3130.024
15.480,3133.645
15.504,3137.333
15.528,3141.092
15.552,3144.915
15.576,3148.812
15.600,3152.810
15.624,3156.913
15.648,3161.116
15.672,3165.409
15.696,3169.786
15.720,3174.254
15.744,3178.813
15.768,3183.403
15.792,3188.109
15.816,3192.953
15.840,3197.893
15.864,3202.916
15.888,3208.014
15.912,3213.172
15.936,3218.451
15.960,3223.774
15.984,3229.162
16.008,3234.573
16.032,3239.942
